"word","Dim.1","Dim.2","cluster"
"human","1.65","0.16","1"
"male","2.18","0.23","1"
"article","1.52","0.07","1"
"female","2.29","0.25","1"
"adult","2.34","0.26","1"
"humans","1.93","0.22","1"
"decision.making","0.04","-0.16","1"
"students","-0.59","1.91","1"
"big.data","-0.68","-0.33","1"
"motivation","1.74","-0.03","1"
"e.learning","-0.45","1.7","1"
"quality.control","-0.57","0.55","1"
"teaching","-0.54","2.38","1"
"colleges.and.universities","-0.79","1.36","1"
"risk.assessment","-0.28","-0.91","1"
"controlled.study","1.62","0.08","1"
"internet.of.things","-0.63","-0.45","1"
"machine.learning","-0.59","-0.75","1"
"engineering.education","-0.78","1.14","1"
"learning.systems","-0.69","1.09","1"
"regression.analysis","-0.43","-0.73","1"
"deep.learning","-0.69","0.2","1"
"education.computing","-0.74","1.99","1"
"learning.algorithms","-0.75","-0.87","1"
"artificial.intelligence","-0.53","0.6","1"
"data.mining","-0.68","-0.2","1"
"economic.and.social.effects","-0.62","-1.01","1"
"economics","-0.51","-0.61","1"
"efficiency","-0.53","-1.02","1"
"forecasting","-0.54","-1.14","1"
"X.current","-0.67","0.22","1"
"digital.storage","-0.59","-0.5","1"
"information.management","-0.76","-1.04","1"
"neural.networks","-0.61","-0.15","1"
"retraction.notice","0.09","-0.46","1"
"costs","-0.39","-0.85","1"
"curricula","-0.82","2.44","1"
"genetic.algorithms","-0.63","-0.23","1"
"psychological.aspect","2.21","0.43","1"
"teachers.","-0.81","1.91","1"
"commerce","-0.41","-0.64","1"
"performance","-0.42","0.31","1"
