"Country","Year","Articles"
"UNITED KINGDOM","1974","2"
"UNITED KINGDOM","1988","8"
"UNITED KINGDOM","1990","19"
"UNITED KINGDOM","1993","21"
"UNITED KINGDOM","1995","23"
"UNITED KINGDOM","1996","23"
"UNITED KINGDOM","1997","24"
"UNITED KINGDOM","1998","24"
"UNITED KINGDOM","1999","24"
"UNITED KINGDOM","2000","24"
"UNITED KINGDOM","2001","24"
"UNITED KINGDOM","2002","24"
"UNITED KINGDOM","2003","24"
"UNITED KINGDOM","2004","24"
"UNITED KINGDOM","2005","26"
"UNITED KINGDOM","2006","26"
"UNITED KINGDOM","2007","28"
"UNITED KINGDOM","2008","29"
"UNITED KINGDOM","2009","30"
"UNITED KINGDOM","2010","34"
"UNITED KINGDOM","2011","34"
"UNITED KINGDOM","2012","36"
"UNITED KINGDOM","2013","38"
"UNITED KINGDOM","2014","40"
"UNITED KINGDOM","2015","46"
