"DOI","Authors","Title","Source","Year","TotalCitation","TCperYear","NTC","SR","students","human","regression analysis","compressive strength","Assigned_cluster","pagerank"
"10.1016/j.jclepro.2016.12.151","MOHAMMADHOSSEINI H;YATIM JM;SAM ARM;AWAL ASMA","DURABILITY PERFORMANCE OF GREEN CONCRETE COMPOSITES CONTAINING WASTE CARPET FIBERS AND PALM OIL FUEL ASH","JOURNAL OF CLEANER PRODUCTION","2017","125","15.625","6.796","MOHAMMADHOSSEINI H, 2017, J CLEAN PROD","0.000","0.000","0.000","1.000","compressive strength","0.020"
"10.1016/j.jclepro.2016.12.168","MOHAMMADHOSSEINI H;YATIM JM","MICROSTRUCTURE AND RESIDUAL PROPERTIES OF GREEN CONCRETE COMPOSITES INCORPORATING WASTE CARPET FIBERS AND PALM OIL FUEL ASH AT ELEVATED TEMPERATURES","JOURNAL OF CLEANER PRODUCTION","2017","99","12.375","5.382","MOHAMMADHOSSEINI H, 2017, J CLEAN PROD-a","0.000","0.000","0.000","1.000","compressive strength","0.021"
"10.1016/j.jclepro.2018.03.051","MOHAMMADHOSSEINI H;TAHIR MM;MOHD SAM AR;ABDUL SHUKOR LIM NH;SAMADI M","ENHANCED PERFORMANCE FOR AGGRESSIVE ENVIRONMENTS OF GREEN CONCRETE COMPOSITES REINFORCED WITH WASTE CARPET FIBERS AND PALM OIL FUEL ASH","JOURNAL OF CLEANER PRODUCTION","2018","86","12.286","2.850","MOHAMMADHOSSEINI H, 2018, J CLEAN PROD","0.000","0.000","0.000","1.000","compressive strength","0.014"
"10.1016/j.jclepro.2020.120726","MOHAMMADHOSSEINI H;ALYOUSEF R;ABDUL SHUKOR LIM NH;TAHIR MM;ALABDULJABBAR H;MOHAMED AM;SAMADI M","WASTE METALIZED FILM FOOD PACKAGING AS LOW COST AND ECOFRIENDLY FIBROUS MATERIALS IN THE PRODUCTION OF SUSTAINABLE AND GREEN CONCRETE COMPOSITES","JOURNAL OF CLEANER PRODUCTION","2020","60","12.000","3.586","MOHAMMADHOSSEINI H, 2020, J CLEAN PROD","0.000","0.000","0.000","1.000","compressive strength","0.021"
"10.1006/jema.2001.0468","GOTTINGER HW","INCENTIVE COMPATIBLE ENVIRONMENTAL REGULATION","JOURNAL OF ENVIRONMENTAL MANAGEMENT","2001","7","0.292","0.667","GOTTINGER HW, 2001, J ENVIRON MANAGE","0.000","0.408","0.000","0.592","compressive strength","0.048"
"10.1111/j.0956-7976.2004.00757.x","HEYMAN J;ARIELY D","EFFORT FOR PAYMENT - A TALE OF TWO MARKETS","PSYCHOLOGICAL SCIENCE","2004","591","28.143","2.585","HEYMAN J, 2004, PSYCHOL SCI","0.058","0.942","0.000","0.000","human","0.097"
"10.1016/j.foodqual.2004.06.005","WANSINK B;VAN ITTERSUM K;PAINTER JE","HOW DESCRIPTIVE FOOD NAMES BIAS SENSORY PERCEPTIONS IN RESTAURANTS","FOOD QUALITY AND PREFERENCE","2005","173","8.650","0.664","WANSINK B, 2005, FOOD QUAL PREFERENCE","0.000","1.000","0.000","0.000","human","0.098"
"10.1177/0956797614520714","GINO F;WILTERMUTH SS","EVIL GENIUS? HOW DISHONESTY CAN LEAD TO GREATER CREATIVITY","PSYCHOLOGICAL SCIENCE","2014","155","14.091","7.572","GINO F, 2014, PSYCHOL SCI","0.000","1.000","0.000","0.000","human","0.201"
"10.1016/j.jenvman.2016.01.038","SARMA GK;SEN GUPTA S;BHATTACHARYYA KG","ADSORPTION OF CRYSTAL VIOLET ON RAW AND ACID-TREATED MONTMORILLONITE, K10, IN AQUEOUS SUSPENSION","JOURNAL OF ENVIRONMENTAL MANAGEMENT","2016","145","16.111","7.496","SARMA GK, 2016, J ENVIRON MANAGE","0.000","1.000","0.000","0.000","human","0.029"
"10.1177/0956797615575277","GINO F;KOUCHAKI M;GALINSKY AD","THE MORAL VIRTUE OF AUTHENTICITY: HOW INAUTHENTICITY PRODUCES FEELINGS OF IMMORALITY AND IMPURITY","PSYCHOLOGICAL SCIENCE","2015","128","12.800","4.620","GINO F, 2015, PSYCHOL SCI","0.000","1.000","0.000","0.000","human","0.193"
