journal,Publisher_abdc,ISSN,year_inception,FoR,abdc_ranking,year
4OR ,Springer Nature,"1619-4500	","2003	",3599,B,2022
AACE International Transactions,AACE International,"1528-7106	","1967	",3599,B,2022
Abacus,Wiley-Blackwell Publishing,"0001-3072	","1965	",3501,A,2022
Academia Economic Papers,"Institute of Economics, Academia Sinica","1018-161X	","1973	",3801,C,2022
Academy of Management Annals,Academy of Management,"1941-6520	","2008	",3507,A*,2022
Academy of Management Discoveries,Academy of Management,"2168-1007	","2015	",3507,A,2022
Academy of Management Journal,Academy of Management ,"0001-4273	","1958	",3507,A*,2022
Academy of Management Learning and Education,Academy of Management ,"1537-260X	","2002	",3507,A*,2022
Academy of Management Perspectives,Academy of Management ,"1558-9080	","1987	",3507,A,2022
Academy of Management Review,Academy of Management ,"0363-7425	","1976	",3507,A*,2022
Academy of Marketing Studies Journal,Allied Business Academies,"1095-6298	","1980	",3506,B,2022
Accident Analysis and Prevention,Elsevier ,"0001-4575	","1969	",3509,A*,2022
Accountancy Business and the Public Interest,Association for Accountancy & Business Affairs,"1745-7718	","2002	",3501,B,2022
Accounting Accountability and Performance,Griffith University,"1445-954X	","1995	",3501,C,2022
Accounting and Business Research,Taylor & Francis Online,"0001-4788	","1970	",3501,A,2022
Accounting and Finance,Wiley-Blackwell Publishing,"0810-5391	","1961	",3501,A,2022
Accounting and Taxation,Institute for Business and Finance Research,"1944-592X	","2007	",3501,C,2022
Accounting and the Public Interest,American Accounting Association,"1530-9320	","2001	",3501,B,2022
Accounting Auditing and Accountability Journal,Emerald Group Publishing Limited,"0951-3574	","1988	",3501,A*,2022
Accounting Education,Taylor & Francis Online,"0963-9284	","1992	",3501,A,2022
Accounting Educators Journal,Academy of Accounting Educators Inc.,"1041-0392	","1988	",3501,B,2022
Accounting Forum,Taylor & Francis Online,"0155-9982	","2004	",3501,B,2022
Accounting Historians Journal,American Accounting Association ,"0148-4184	","1977	",3501,B,2022
Accounting History,Sage Publications,"1032-3732	","1989	",3501,A,2022
Accounting History Review,Taylor & Francis Online,"2155-2851	","2011	",3501,B,2022
Accounting Horizons,American Accounting Association,"0888-7993	","1987	",3501,A,2022
Accounting in Europe,Taylor & Francis Online,"1744-9480	","2004	",3501,A,2022
Accounting Perspectives,Wiley-Blackwell Publishing,"1911-382X	","2002	",3501,B,2022
Accounting Research Journal,Emerald Group Publishing Limited,"1030-9616	","1986	",3501,B,2022
"Accounting, Economics and Law – A Convivium",De Gruyter ,2194-6051,2011,3501,B,2022
"Accounting, Finance and Governance Review",Irish Accounting and Finance Association,"0791-9638	","1994	",3501,C,2022
"Accounting, Organizations and Society",Elsevier ,"0361-3682	","1976	",3501,A*,2022
ACM Transactions on Computer-Human Interaction,Association for Computing Machinery,"1073-0516	","1994	",4609,A*,2022
ACM Transactions on Computing Education,The Association for Computing Machinery,"1531-4278	","2009	",4609,C,2022
ACM Transactions on Information Systems,Association for Computing Machinery,"1046-8188	","1983	",4609,C,2022
ACM Transactions on Modeling and Computer Simulation,Association for Computing Machinery,"1049-3301	","1991	",3599,B,2022
Acta Oeconomica,Akademiai Kiado,"0001-6373	","1951	",3899,C,2022
Acta Psychologica,Elsevier ,"0001-6918	","1936	",3507,A,2022
Acta Turistica,"University of Zagreb, Faculty of Economics and Business","0353-4316	","1989	",3508,C,2022
Acta Universitatis Bohemiae Meridionalis,University of South Bohemia Faculty of Economics,"1212-3285	","1971	",3801,C,2022
Action Learning and Action Research Journal,ALARA Association Inc.,"1326-964X	","1996	",3507,C,2022
Action Learning Research and Practice,Taylor and Francis Online,1476-7333,2004,3507,C,2022
Active Learning in Higher Education,Sage Publications,"1469-7874	","2000	",3505,B,2022
Actuarial Research Clearinghouse,SOA Education and Research Section,"0732-5428	","2004	",3502,C,2022
Adelaide Law Review,University of Adelaide ,"0065-1915	","1960	",4801,A,2022
Administration and Society,Sage Publications,"0095-3997	","1975	",3507,B,2022
Administrative Science Quarterly,Sage Publications,0001-8392  ,"1956	",3507,A*,2022
Administrative Theory and Praxis,Taylor & Francis Online,"1084-1806	","1979	",3507,B,2022
Advances and Applications in Statistics,Pushpa Publishing House,"0972-3617	","2001	",4905,C,2022
Advances in Accounting,Elsevier ,"0882-6110	","1984	",3501,A,2022
Advances in Accounting Behavioral Research,Emerald Group Publishing,"1475-1488	","1998	",3501,A,2022
Advances in Accounting Education: teaching and curriculum innovations,Emerald Group Publishing,"1085-4622	","1996	",3501,C,2022
Advances in Applied Probability,Applied Probability Trust,"0001-8678	","1964	",4905,A,2022
Advances in Consumer Research,Association for Consumer Research,"0098-9258	","1974	",3506,B,2022
Advances in Developing Human Resources,Sage Publications,"1523-4223	","1999	",3505,C,2022
Advances in Environmental Accounting and Management,Emerald Group Publishing,1479-3598,2000,3501,B,2022
Advances in Experimental Social Psychology,Elsevier ,"0065-2601	","1964	",3507,A*,2022
Advances in Hospitality and Leisure,Emerald Group Publishing,"1745-3542	","2005	",3504,C,2022
Advances in International Management,Emerald Group Publishing,"1571-5027	","1988	",3507,C,2022
Advances in International Marketing,Emerald Group Publishing,"1474-7979	","1986	",3506,C,2022
Advances in Management Accounting,Emerald Group Publishing,"1474-7871	","1990	",3501,A,2022
