author
L Hashemi
B Mellar
M Ghasemi
Yixian Wen
Hongliang Miao
Hongna Du
Huirong Zhu
Qin Wang
Shiyuan Zhou
Xiaoqin Yang
Zhixiong Liao
Xinyuan Fan
Weiguo Zhang
Yeqing Chen
Mengze Zhang
Baeki Hyng
Rui Wang
Sha Yang
Xiulei Mao
Ping Zhong
Hang Yin
Yuanfu Li
Xi Chen
Qinjin Li
Fuxia Zou
Dan Wang
Tao Li
Mengyao Hu
Hui Du
Zhenhong Xiao
Jianbang Shi
Rui Tan
Junyi Shen
Yi Zheng
Chuan Sun
Li Gong
Chao Wang
Jiangtao Bai
Yan Cui
Yuchen Song
Yi Wei
Yao Qiu
Yajie Liu
Ying Tong
Xuyu Xiang
Yingying Luo
Shan Yingkun
Chen Liang
Chu Jing
Rui Chen
Fangyuan Xu
Feng Han
Xihong Li
Huiming Li
Jiesen Yin
Xueyan Bai
Xiajian Wang
Nannan Liang
Haifeng Xu
WanLi Zhang
Lin Cui
Xiaomeng Kang
Minggao Zheng
Qihua Liu
Jian Cao
Jie Geng
Weimin Shen
Chengwu Sun
Xiaoyue Zhu
Minhao Zhang
Xiaolian Di
Li Li
Bin Cheng
Fawen Dai
Yanting Liu
Meimei Zhang
Tao Lin
Huashuo Chu
Ruixue Gong
Baokai Zhao
Long Wang
Shuaipeng Guan
Wei Deng
Ping Lu
Zhe Xie
Xiaohua He
Zhongyi Zhao
Shenyu Wang
Yan Chen
Yahui Ji
Ye Luo
Yuan Qian
Jiemin Yin
Lai Wang Wang
Chen Chih Hung
Ching Tang Hsieh
Zhi Li
Zhanyong Qi
Ye Li
Dengfeng Yao
Bo An
Lin Gao
Yu Guan
Chen Chen
Bo Song
Yongcai Rao
Chunli Feng
Zhao Lihua
Jie Chen
Wei Zheng
Tianchan Shan
Xiuqing Guo
Jie Yan
Zhenhua Li
Ziqin Shu
Ming Huang
Chun Cui
Dong Chen
Junhong Xie
Xiaoyong Li
Caiyi Liang
Jin Wang
Zhen Ma
Yanping Ma
Haifeng Wang
Guangsi Li
Yunzhi Hu
Yinan Hao
Shenghui Li
Wenmin Wang
Xiang Sui
Guangqing Zhang
Zixuan Zeng
ZhiAng Wang
Yubo Liu
Qian Guo
Chang Cao
Jia Fan
Jun Wang
Xuying Hu
Xiu Zhao
Yu Zhao
Shuying Liu
Zinan Liu
Ying Mo
Qiang Li
Li Yang
Guo Qiang
Liu Ya-mei
Guo Li
Abid Haider
Sarmadullah Khan
Abdullah Mohamed
Shahbaz Khan
Razaullah Khan
Shisong Wu
Aijun Yang
Shuyan Yu
Suyao Zhao
Chengyi Li
Mengmeng Tian
Hengyuan Zhang
Zhixuan Xiao
Runjiu Hu
Zongrui Li
Kai Zhao
Zhi Su
Ling Chen
Zhang Guili
Li Pengxi
Yu Yinglong
Liang Zhao
Zhang Hanyue
Jing Chen
Jieguan Huang
Luo Luo
Xin Ma
He Peng
Cheng Qin
Min Wang
Liling Fu
Pengcheng Zhao
Han Xiao
Lunfu Li
Song Shan
Shuxiang Li
Guowei Chen
Shuai Wang
Mengchen Xue
Qi Wang
Dandan Li
Jianxing Wang
Luo Weisheng
Hong Hui
Donghua Zhou
Shan He
Aiqin Li
Yuzhen Huang
Jiaxun Liu
Kaixin Li
Xingan Yao
Jinghui Wu
Jie Zhang
Ba Xu
Linlin Chen
Yifeng Lu
Sihua Liu
Yunting Bai
Ke Liu
Johan Awang bin Othman
Changlei Zhou
Tingting Ma
MingQian Zhang
Tinting Yu
Yunxiang Huo
Jie Li
Dongphil Chun
Hengjun Luo
Yixuan Chang
Jiakun Yu
Yufei Gong
Siyu Chen
Yuyang Cui
Yun Zhu
Guolin Song
Yanghua Shi
Xiuli Wang
Bin Wang
Guangming He
Yan Huang
Xia Liu
Gang Bai
Wenxia Liu
Weiming Shi
Xin Xiang
Hongbo Lu
Lifeng Wang
Jia Yang
Wei Xia
Ying Hong
Haixiang Li
Weixian Xue
Bo Chen
Kai Wang
Yujia Han
Hyung gon Kim
Tian Lan
Fu Lin Chu
Chien Hua Chang
Yu Wang
Qing Ting Ni
Tianheng Xie
Jianfang Zhang
Hongli Guo
Tong Zou
Lu Wang
Weijie Zhi
YuWen Zhang
Hao Yang
Jing Fan
Ming Kang
David Dubois
Derek D Rucker
Adam D Galinsky
Araceli Rojo Gallego Burin
Maria Nieves Perez-Arostegui
Javier Llorens-Montes
Mesut Akdere
Kris Acheson
Yeling Jiang
Jennie Bai
Turan G Bali
Quan Wen
Tayebeh Saghapour
Sara Moridpour
Russell G Thompson
Francesca Gino
Maryam Kouchaki
Tiziana Casciaro
Yu Liu
Zhengchao Zhang
Xin Jing
Yawen Yang
Xiaojing Liu
Wenli Seng
Ying Jin
Li Rong
Xiaoyan Dong
Ziqi Xu
Lurong Yang
Jin Xiao
Wen An
Yan Yan
Huaye Huang
Dongliang Wang
Yanhong Jing
Shai Elkayam
Yaron Orenstein
Scott S Wiltermuth
Andrea Ghelfi
Kenta Shirasawa
Hideki Hirakawa
Sachiko Isobe
Hossein Mohammadhosseini
Jamaludin Mohamad Yatim
Abdul Rahman Mohd Sam
A S M Abdul Awal
Mahmood Md Tahir
Nor Hasanah Abdul Shukor Lim
Mostafa Samadi
Rayed Alyousef
Hisham Alabduljabbar
Abdeliazim Mustafa Mohamed
Jeffrey Camarda
Steven J Lee
Pueter de Jong
Jerusha Lee
Xinyan Guo
Ni Ni
Mali Shi
Xiaohui Zhang
Qingbin Yuan
Na Wang
Shenghu Zhang
Yi Luo
H W Gottinger
Zhao Yong
Wu Xinlin
Huan He
Xinyun Guo
Jialin Yu
Chen Ai
Shaoping Shi
Pankaj K P Shreyaskar
Pramod Pathak
Mohammad Mahin Uddin
Sumran Ali
Tajdar Khan
Amjad Hossain Reyad
Rajesh Paul
Raffaele Filieri
Salma Alguezaui
Meisam Karami
Shaghayegh Malekifar
Ali Beigi Nasiri
Homayoun Feili
Saif Ur Rehman Khan
Abdulrahman A Alfalah
Soud A Alganem
Maria Costanza Torri
Mwafak Shakoor
Moayyad Al-Nasra
Wisam Abu Jadayil
Nasser Jaber
Mohamed Qureshi
R Lavanya
B Bharathi
YalÄ±n AygÃ¼n
Åakir TÃ¼fekÃ§i
Vikas Kumar
J K Nayak
Martin Meyer
Debasish Dutta
P E Jacob
F Lindsten
T B SchÃ¶n
Umer Shahzad
Muhammad Ramzan
Muhammad Ibrahim Shah
Buhari DoÄan
Ahdi Noomen Ajmi
Javad Soroor
Mohmmad Jafar Tarokh
Farid Khoshalhan
Sara Sajjadi
E Triantis
J Tzouvadakis
F Bougiatioti
D Diamantidou
G Chryssicopoulos
Mohammed Sakr
Ãzlem Ãavdar
K Pourazin
S Eshghi
Ande Langga
Mina Bergstad
Dani Or
Philip J Withers
Nima Shokri
Bassem Salhi
Nicolas GuÃ©guen
Robert-Vincent Joule
Lubomir Lamy
Jacques Fischer-Lokou
Liv Lefebvre
Hoang Nhat Phong Vo
Xuan Thanh Bui
Thanh Tin Nguyen
Dinh Duc Nguyen
Ngoc Dan Thanh Cao
Thi Kim Quyen Vo
R Grossarth-Maticek
H J Eysenck
G Uhlenbruck
H Rieder
H Vetter
C Freesemann
L Rakic
G Gallasch
D T Kanazir
H Liesen
Muhammad Haseeb
Tulus Suryanto
Nira Hariyatie Hartani
Kittisak Jermsittiparsert
M Ãngeles Oviedo-GarcÃ­a
Nicolas Gueguen
Jayanta Kumar Kumar
Sugata Marjit
Joonmo Cho
Jaeho Keum
Wen Fang
