College,Number of Authors,Name of Authors,doi
"LD College of Engineering, Ahmedabad",1,Kevin Koyani,10.1007/s11356-023-29441-5
"Narayana Nethralaya, Bengaluru",3,Nikunj V Patel; Nidhi Gupta; Rohit Shetty,10.4103/0301-4738.384007
"Sri Guru Ram Das Institute of Dental Sciences and Research, Amritsar",6,"Aashish Handa, Kanwalpreet Kaur Bhullar, Diksha Batra, Rajdeep Singh Brar, Mallika Khanna, Shantun Malhotra",10.4103/5555-1111.382422
"Kakatiya Institute of Technology and Science, Warangal",5,"P Kamakshi, Y Bhavani, A Bhaskar, B Kiran Kumar, T Mahesh Kumar",10.1007/s00500-023-09081-0
"Sri Ramakrishna Engineering College, Coimbatore",5,"V Sangeetha, E Shanthini, T Aravindhan, S Dineshkumar, D Ashwin Shivaa",10.1088/1742-6596/2325/1/012059
"Bannari Amman Institute of Technology, Erode",2,"Karthiga Shenbagam Natarajan, Mohanraj Ashokan",10.1007/s11356-023-28297-z
"Mahant Bachittar Singh College of Engineering and Technology, Jammu",1,"Johny Khajuria, N Nagabhooshanam, Pankaj Sharma, Atul Kumar, Santosh Kumar Sahu",10.1155/2023/9803294
"National Dental College and Hospital, Mohali",3,"Kamakshi Gupta, Navneet Kaur, Gurpreet Kaur",10.7759/cureus.r68
IIT Delhi,1,Dhananjay Tiwari,10.1063/5.0120758
Aligarh Muslim University,1,Tarik Anowar,10.1177/2455328X221123837
Lovely Professional University,3,"Preeti Khurana, Keshav Jha, Akhil Gupta",10.1088/1742-6596/2327/1/012079
Sri Krishnadevaraya University,3,"Sreenath Konanki, Anitha Sreeyapureddy, Muralidhararao Dowlathabad",10.1016/j.jaim.2023.100700
Sri Sai Ram Institute of Technology,1,G Shanmugasundar,10.1088/2053-1591/ac794b
Dr Akhilesh Das Gupta Institute of Technology and Management,2,"Dhyanendra Jain, Prashant Singh",10.1088/1742-6596/2236/1/012013
"Govt Science College, Chattrapur",1,S Behera,10.1134/S1547477122020133
MLR Institute of Technology,2,"Mahendra Vachu, A L Siridhara",10.1007/978-981-16-6605-6_67
MNIT Jaipur,3,"Anbesh Jamwal, Rajeev Agrawal, Monica Sharma",10.1007/978-981-16-5281-3_50
Lovely Professional University,2,Pillalamarri Laxman. Anuj Jain,10.1049/wss2.12058
"NGP Institute of Technology, Coimbatore",1,M Prakash,10.1038/s41598-023-33083-5
"PDA College of Engineering, Kalaburgi",1,Suvarna Nandyal,10.1088/1742-6596/2070/1/012249
"Bannari Amman Institute of Technology, Erode",2,"S D Reakaa, J Haritha",10.1088/1742-6596/1921/1/012131
Anna University,2,"R Seetharaman, M Tharun",10.1088/1757-899X/1187/1/012037
"Manipal University, Jaipur",3,"Akshay Chinchole. Charanjeet Singh Tumrate,Dhaneshwar Mishra",10.1088/1755-1315/796/1/012075
"IFTM University, Moradabad",1,Swati Saxena,unavailable
NIT Trichy,1,U Vignesh,10.1088/1742-6596/1964/3/03201
Sri Sai Ram Engineering College,2,"D Prabu, S Viknesh",10.1088/1742-6596/2054/1/012091
Lovely Professional University,2,"Pillalamarri Laxman, Anuj Jain",10.1155/2022/9854527
Lovely Professional University,1,Rahul Malik,10.1007/s12652-022-04378-8
Panjab Agricultural University,3,"Mehraj U. Din Dar, Aamir Ishaq Shah, Rajbir Kaur",10.1016/j.jclepro.2022.133002
"Graphic Era, Dehradun",1,Yashvir Singh,10.1177/09544062221103075
"Sri Ganga Ram Hospital, New Delhi",4,"Laxmi Khanna, Chandrashekar Agrawal, Mandaville Gourie-Devi, Ankkita Sharma Bhandari",10.4103/0972-2327.355739
"NMIMS (Deemed-to-be) University, Mumbai",1,Rejo Mathew,10.1016/j.seta.2022.102266
"DSMNRU, Lucknow",2,"Atul Kumar, Vinodani Katiyar",10.1088/1757-899X/1110/1/012021
"University College of Engineering, Osmania University",2,"Jagadeshwar Kandula, P. Usha Sri",10.1007/s40868-022-00119-w
IIT Dharwad,1,Souradip Chattopadhyaya,10.1063/5.0101428
Stanley College of Engineering and Technology for Women,3,"B V Ramana Murthy, B N S M Chandrika, Satya Prasad Lanka",10.1088/1742-6596/2089/1/012084
"Olympia Hospital and Research Center, Trichy",1,Terrence Jose Jerome,10.1016/j.otsr.2022.103306
FRI Dehradun,2,"Neha Devi, Hukum Singh",10.1016/j.tfp.2022.100273
"Maulana Abul Kalam Azad University of Technology, Kolkata",2,"Zubin Tobias, Suneha Bose",10.1007/978-981-16-2594-7_71
IIT Roorkee,2,"Amit Kumar Chaurasia, Prasenjit Mondal",10.1007/978-981-15-8025-3_87
"Loyola Institute of Technology, Chennai",1,Babin Dhas Devadhasan,10.1177/09722629211085752
Teegala Krishna Reddy Engineering Collere,2,"N Vadivelan, C Anna Palagan",10.1016/j.compeleceng.2022.107791
"Vignan's Institute of Information Technology, Visakhapatnam",1,Bindu Gogineni,10.1109/ICECA52323.2021.9676063
K.S. Rangasamy College of Arts and Science,2,"S. Senthilkumar, V. Dhivya",10.1080/17458080.2022.2026647
"Yashoda Hospitals, Hyderabad",2,"Pankaj Jariwala, Harshvardhan Reddy",10.4103/0971-5916.351030
Sri Krishna College of Engineering,4,"N Karthikeya, P Padmanaban, A Prasanth, D Ragunath",10.1088/1742-6596/1916/1/012236
Chandigarh University,2,"Sonia Bidhan, Anu Radha Pathania",10.1051/e3sconf/202130901230
"Gandhi Hospital, Hyderabad",4,"Srikar Sama, Sathvik Saineni, Sohan Erpenwar, Shashi Maryala",10.7759/cureus.r39
"Sidho-Kanho-Birsha University, Purulia",2,"Mukunda Choudhury, Gour Chandra Mahata",10.1051/ro/2021142
"CCS Haryana Agricultural University, Hisar",4,"Pummy Kumari, Vinod Kumar, Rakesh Kumar, Surender Kumar Pahuja",10.1007/s00425-021-03748-4
"Maharaja Sriram Chandra Bhanja Deo University, Odisha",2,"Tapan Kumar Behera, Pramoda Kumar Satapathy",10.1016/j.cplett.2021.139002
Jadavpur University,3,"Gourab Das, M De, K K Mandal",10.1016/j.egyr.2021.08.114
"Dr. Ambedkar Institute of Technology, Bangalore",3,"N. Shwetha, N. Gangadhar, Shivaputra",10.1007/978-981-15-9651-3_72
"Shree Guru Gobind Singh Tricentenary University, Gurgaon",1,Mukesh Kumar,10.22226/2410-3535-2021-3-367
"International Cooperative Alliance Asia and Pacific, New Delhi",1,Mohit Dave,10.1177/09730052211034591
"SRM TRP Engineering College, Tiruchirappalli",1,R. Ganesh Babu,10.1007/s12273-021-0817-4
Bankura University,1,Arnab Kundu,10.1007/s10639-021-10503-5
Delhi Technological University,4,"S Anbu Kumar, Shivam Gupta, Shubham Kumar, Pawan Kumar Meena",10.1088/1755-1315/775/1/012018
"Centre for Development of Advanced Computing, Bangalore",1,R. Manavalan,10.1016/j.physb.2021.413243
"Maharaja College of Pharmacy, Vizianagaram",1,Venkata Deepthi Vemuri,10.1016/j.jcrysgro.2021.126241
Marri Laxman Reddy Institute of Technology and Management,3,"Mamilla Sirisha, Srinivas Bachu, Naluguru Udaya Kumar",10.1109/ICACCS51430.2021.9441730
"Graphic Era Hill University, Dehradun",2,"Pradeep Bedi, Ranjana Sikarwar",10.1016/j.micpro.2023.104901
Sathyabhama Institute of Science and Technology,2,"K C Prabu Shankar, S Prayla Shyry",10.1088/1742-6596/1911/1/012034
Bharath Institute of Higher Education and Research,2,"Sivakumar Chellappan, C Nalini",10.1088/1742-6596/1911/1/012033
"SRM TRP Engineering College, Tiruchirappalli",3,"R Ganesh Babu, V Vijey Nathan, S Ganesh",10.1109/Confluence51648.2021.9377165
"Vels Institute of Science, Technology & Advanced Studies, Chennai",3,"S. Jeyalaksshmi, G. Suseendran, D. Akila",10.1109/ICCAKM50778.2021.9357710
Koneru Lakshmaiah Education Foundation,4,"Gayathri Edamadaka, Ch Smitha Chowdary, M Jogendra Kumar, N Raghavendra Sai",10.1088/1757-899X/981/2/022104
CMR Engineering College,2,"M Amru, Allam Venkata Naga Mahesh",10.1088/1757-899X/981/4/042099
"Sumathi Reddy Institute of Technology for Women, Warangal",3,"V. Pranathi1, G. Ranadheer Reddy, D Raghava Kumari",10.1088/1757-899X/981/2/022103
"SRM TRP Engineering College, Tiruchirappalli",4,"R Ganesh Babu, P Elavarasi, GA Nivedaa, M Rani Krishna",10.1088/1757-899X/1055/1/012161
"Bannari Amman Institute of Technology, Erode",3,"T Senthil, J Deepika, R Nithya",10.1088/1757-899X/1084/1/012134
"Erode Sengunthar Engineering College, Erode",2,"M. Ramya, V. Thamizharasan",10.1088/1757-899X/1084/1/012133
Lovely Professional University,2,"Abhilash, Sukhkirandeep Kaur",10.1088/1757-899X/1022/1/012126
Koneru Lakshmaiah Education Foundation,3,"M Jogendra Kumar, N Raghavendra Sai, Ch Smitha Chowdary",10.1088/1757-899X/981/2/022100
"Bannari Amman Institute of Technology, Erode",4,"K P Sampoornam, B Hemalatha, M Kaaviyasri, K Jaya Priyanka",10.1088/1757-899X/1084/1/012132
Dayanand Sagar College of Engineering,1,Geetha Narayanan Kannaiyan,10.1088/1742-6596/1831/1/012036
SRM Institute of Science and Technology,2,"R Angeline, R Vani",10.1088/1757-899X/1084/1/012131
"P.T. Lee. CNCET, Kanchipuram",1,S Yogeeswaran,10.1088/1757-899X/925/1/012076
"SR Engineering College, Warangal",2,"Yerrolla Chanti, Seena Naik Korra",10.1088/1757-899X/981/2/022099
"NITTE Meenakshi Institute of Technology, Bangalore",1,H V Srikanth,10.1080/01430750.2022.2129365
Bharati Vidyapeeth's College of Engineering,6,"Srishti Garg, Tanishq Sehga, Aakriti Jain, Yash Garg, Preeti Nagrath, Rachna Jain",10.1088/1757-899X/1099/1/012085
"GLA University, Mathura",3,"Ankur Chaturvedi, Akshi Gupta, Vikram Rajpoot",10.1088/1757-899X/1099/1/012084
Chitkara University,1,Tapan Behl,10.1007/s12640-022-00519-1
"K. K. Wagh Institute of Engineering Education and Research, Nashik",1,Mohan P. Thakre,10.1088/1757-899X/1084/1/012130
"Gudlavalleru Engineering College, Gudlavalleru",1,S. Jayaprada,10.1088/1757-899X/1074/1/012037
"GLA University, Mathura",2,"Nira Shukla, Aasheesh Shukla",10.1088/1757-899X/1116/1/012207
Koneru Lakshmaiah Education Foundation,3,"Ch Smitha Chowdary, Gayathri Edamadaka, N Raghavendra Sai",10.1088/1757-899X/981/2/022098
"Government Polytechnic, Arvi",1,Rupali Komatwar,10.1080/19361610.2022.2039530
Seema Dental College and Hospital,2,"Geeta Arya, Varun Kumar",10.4103/njms.njms_503_21
"St Xaviers Catholic College of Engineering, Nagercoil",2,"G Johncy, A Anisha Felise",10.1088/1757-899X/983/1/012018
SRM Institute of Science and Technology,5,"Mukul Joshi, Ekant Sharma, Ankur Anand, M Thirugnanam, G Rajasekaran",10.1088/1757-899X/912/3/032090
Lovely Professional University,3,"Harminder Singh Saggu, Chander Prakash, Amardeep Singh Kang",10.1088/2053-1591/ac2905
MCKV Institute of Engineering,1,Soutrik Bose,10.1016/j.measurement.2021.110144
"MANIT, Bhopal",3,"Suprabeet Datta, Siddhartha Rokade, Sarvesh P S Rajput",10.1007/s13177-021-00265-2
Aligarh Muslim University,1,Ambreen Naaz,10.1007/s13324-021-00546-9
SVS Medical College and Hospital,3,"S R K Deekshith, K J Reddy, R Raviteja",10.1186/s42836-021-00076-6
Public Health Engineering Directorate,1,Soumyajit Koley,10.1139/cjce-2021-0102
Lovely Professional University,2,"Gopaldinne Sanjeev Reddy, Sripada Manasa Lakshmi",10.1088/1757-899X/1022/1/012125
"Maulana Abul Kalam Azad University of Technology, Kolkata",3,"Suprabeet Datta, Siddhartha Rokade, Sarvesh P S Rajput",10.1061/JTEPBS.0000532
"AIIMS, Jodhpur",4,"Kunal Deokar, Gopal Chawla, Benhur Joel Shadrach, Naveen Dutt",10.4103/0970-9185.307182
"Karpagam Academy of Higher Education, Coimbatore",4,"J Shafiq Mansoor, M Bhuvaneswari, K G Dharani, T S Aravinth",10.1109/ICISS49785.2020.9316098
"AIIMS, Jodhpur",4,"Kunal Deokar, Gopal Chawla, Benhur Joel Shadrach, Naveen Dutt",10.4103/0970-2113.306029
"Amity University, Lucknow",1,Syed Uzma Jalil,10.1007/978-981-15-2172-0_33
"Jyothi Engineering College, Thrissur",1,Karthik Chandran,10.1142/S0218488521930016
TempleCity Institute of Technology and Engineering,1,Satya Prakash Rout,10.1109/ICCCNT49239.2020.9225680
"Indian Council of Medical Research, New Delhi",2,"Bontha V Babu, Yogita Sharma",10.1016/j.jcot.2020.09.016
IIT Dhanbad,2,"Pankaj K P Shreyaskar, Pramod Pathak",10.1002/pa.2423
"AIIMS, New Delhi",1,Abhishek Singh,10.4097/kja.20227.r1
MGR Educational and Research Institute,4,"S Nallusamy, K Sujatha, K Rajan, K R Vijay Kumar",10.4028/www.scientific.net/JERA.50.94
IIT Roorkee,1,Zillur Rahman,10.1108/JPBM-04-2020-2862
Lovely Professional University,2,"Rahul Malik, Aditya Khamparia",10.1109/ACCESS.2020.3018326
Banaras Hindu University,2,"Swati Sharma, Shachi Tiwari",10.1016/j.ijbiomac.2023.124679
"NSCB Medical College, Jabalpur",2,"Anirudh Shukla, Brijesh Kumar",10.1007/s12070-023-03567-x
