"","record_id","title","subject","institution","journal","publisher","country","author","urls","article_type","retraction_date","retraction_doi","retraction_pub_med_id","original_paper_date","original_paper_doi","original_paper_pub_med_id","retraction_nature","reason","paywalled","notes","duration_in_months","retraction_year"
"1",50317,"Adverse childhood experiences (including violence and abuse) and obesity and obesogenic behaviors: result from a population-based sample of children in New Zealand","(HSC) Biostatistics/Epidemiology;(HSC) Medicine - Pediatrics;(SOC) Psychology;","School of Population Health, University of Auckland, Auckland, New Zealand; Violence and Society Centre, City, University of London, London, UK; Counselling, Human Services and Social Work, University of Auckland, Auckland, New Zealand;","European Journal of Public Health","Oxford Academic","New Zealand;United Kingdom","L Hashemi;B Mellar;M Ghasemi","","Research Article;",2023-12-14,"10.1093/eurpub/ckad205",38096126,2023-10-24,"10.1093/eurpub/ckad160.423",0,"Retraction","+Concerns/Issues About Results;","No","",1.66666666666667,2023
"2",50040,"The Macroreform of the Electronics Manufacturing Industry under the Industry 4.0 Wave Based on Financial Performance Indicators","(B/T) Business - Manufacturing;(B/T) Technology;","School of Business, Hunan Institute of Technology, 18Henghua Road, Zhuhui District 421002, Hunan, China;","Mobile Information Systems","Hindawi","China","Yixian Wen","https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/;https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/","Research Article;",2023-07-12,"10.1155/2023/9893405",0,2022-06-03,"10.1155/2022/6436112",0,"Retraction","+Concerns/Issues About Data;+Concerns/Issues About Results;+Concerns/Issues about Referencing/Attributions;+Concerns/Issues with Peer Review;+Investigation by Journal/Publisher;+Investigation by Third Party;+Randomly Generated Content;+Unreliable Results;","No","",13.2903225806452,2023
"3",50039,"Coordinated Development of Chinaâs Regional Economy and Ethnic Diversity under the Background of Big Data and the Internet of Things","(B/T) Business - Economics;(B/T) Data Science;(B/T) Technology;(SOC) Sociology;","School of Economics and Management, Hulunbuir University, Hulunbuir 021008, China; Tehua Postdoctoral Programme, Beijing 100000, China;","Mobile Information Systems","Hindawi","China","Hongliang Miao","https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/;https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/","Research Article;",2023-07-12,"10.1155/2023/9854592",0,2022-07-20,"10.1155/2022/6424505",0,"Retraction","+Concerns/Issues About Data;+Concerns/Issues About Results;+Concerns/Issues about Referencing/Attributions;+Concerns/Issues with Peer Review;+Investigation by Journal/Publisher;+Investigation by Third Party;+Randomly Generated Content;+Unreliable Results;","No","",11.7333333333333,2023
"4",50038,"Application of Internet of Things Architecture in Intelligent Classroom Teaching Analysis in Colleges and Universities","(B/T) Technology;(SOC) Education;","School of Marxism, Xiâan International University, Xiâan, Shannxi 710016, China;","Mobile Information Systems","Hindawi","China","Hongna Du","https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/;https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/","Research Article;",2023-07-12,"10.1155/2023/9825071",0,2022-06-28,"10.1155/2022/4831937",0,"Retraction","+Concerns/Issues About Data;+Concerns/Issues About Results;+Concerns/Issues about Referencing/Attributions;+Concerns/Issues with Peer Review;+Investigation by Journal/Publisher;+Investigation by Third Party;+Randomly Generated Content;+Unreliable Results;","No","",12.4666666666667,2023
"5",50037,"Design and Management of Microteaching Mode of Innovation and Entrepreneurship Education in Colleges and Universities Driven by Big Data","(B/T) Business - General;(B/T) Data Science;(B/T) Technology;(SOC) Education;","Chongqing Jiaotong University, Nanan, Chongqing 400074, China; Chongqing University of Posts and Telecommunications, Nanan, Chongqing 400065, China;","Mobile Information Systems","Hindawi","China","Huirong Zhu;Qin Wang","https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/;https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/","Research Article;",2023-07-12,"10.1155/2023/9803041",0,2022-06-28,"10.1155/2022/4689950",0,"Retraction","+Concerns/Issues About Data;+Concerns/Issues About Results;+Concerns/Issues about Referencing/Attributions;+Concerns/Issues with Peer Review;+Investigation by Journal/Publisher;+Investigation by Third Party;+Randomly Generated Content;+Unreliable Results;","No","",12.4666666666667,2023
"6",50036,"A Study of Industrial Convergence in the Context of Digital Economy Based on Scientific Computing Visualization","(B/T) Business - Economics;(B/T) Data Science;(B/T) Technology;","Institute of Business Administration, Henan University, Kaifeng, China; School of Business Administration, Yellow River Conservancy Technical Institute, Kaifeng, China; Xinxiang Institute of Engineering, Xinxiang, China;","Mobile Information Systems","Hindawi","China","Shiyuan Zhou;Xiaoqin Yang;Zhixiong Liao","https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/;https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/","Research Article;",2023-07-12,"10.1155/2023/9848212",0,2022-06-27,"10.1155/2022/4025875",0,"Retraction","+Concerns/Issues About Data;+Concerns/Issues About Results;+Concerns/Issues about Referencing/Attributions;+Concerns/Issues with Peer Review;+Investigation by Journal/Publisher;+Investigation by Third Party;+Randomly Generated Content;+Unreliable Results;","No","",12.5,2023
"7",50035,"Library Document Resource Construction and Data Sharing Based on Semantic Web Technology","(B/T) Data Science;(B/T) Technology;","Library, Sichuan University, Chengdu, Sichuan 610064, China;","Mobile Information Systems","Hindawi","China","Xinyuan Fan","https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/;https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/","Research Article;",2023-07-12,"10.1155/2023/9864940",0,2022-06-23,"10.1155/2022/2168655",0,"Retraction","+Concerns/Issues About Data;+Concerns/Issues About Results;+Concerns/Issues about Referencing/Attributions;+Concerns/Issues with Peer Review;+Investigation by Journal/Publisher;+Investigation by Third Party;+Randomly Generated Content;+Unreliable Results;","No","",12.6333333333333,2023
"8",50034,"Key Technologies of Digital Protection of Historical and Cultural Heritage Based on Virtual Reality Technology","(B/T) Technology;(HUM) History - Asia;","School of Animation, Shijiazhuang University of Applied Technology, Shijiazhuang, Hebei 050081, China;","Mobile Information Systems","Hindawi","China","Weiguo Zhang","https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/;https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/","Research Article;",2023-07-12,"10.1155/2023/9878716",0,2022-06-25,"10.1155/2022/1598160",0,"Retraction","+Concerns/Issues About Data;+Concerns/Issues About Results;+Concerns/Issues about Referencing/Attributions;+Concerns/Issues with Peer Review;+Investigation by Journal/Publisher;+Investigation by Third Party;+Randomly Generated Content;+Unreliable Results;","No","",12.5666666666667,2023
"9",50033,"SURF Algorithm-Based Data Aggregation Method and Digital Sharing Economy","(B/T) Business - Economics;(B/T) Computer Science;(B/T) Data Science;","Ningbo University of Finance and Economics, College of International Economics and Trade, Ningbo 315175, Zhejiang, China; Department of Economics, Sejong University, Seoul 05006, Republic of Korea;","Mobile Information Systems","Hindawi","China;South Korea","Yeqing Chen;Mengze Zhang;Baeki Hyng;Rui Wang","https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/;https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/","Research Article;",2023-07-12,"10.1155/2023/9852176",0,2022-07-04,"10.1155/2022/1513129",0,"Retraction","+Concerns/Issues About Data;+Concerns/Issues About Results;+Concerns/Issues about Referencing/Attributions;+Concerns/Issues with Peer Review;+Investigation by Journal/Publisher;+Investigation by Third Party;+Randomly Generated Content;+Unreliable Results;","No","",12.258064516129,2023
"10",50032,"Design of Hybrid Teaching System for Aerobic Exercise Class of Recreational Sports Major","(B/T) Computer Science;(SOC) Education;(SOC) Sports and Recreation;","Department of Physical Education, Lvliang College, Lvliang, Shanxi 033000, China; Jeonju University, Jeonju, Jeollabuk-do 55060, Republic of Korea;","Mobile Information Systems","Hindawi","China;South Korea","Sha Yang;Xiulei Mao","https://retractionwatch.com/2023/04/05/wiley-and-hindawi-to-retract-1200-more-papers-for-compromised-peer-review/;https://retractionwatch.com/2022/09/28/exclusive-hindawi-and-wiley-to-retract-over-500-papers-linked-to-peer-review-rings/","Research Article;",2023-07-12,"10.1155/2023/9797615",0,2022-08-04,"10.1155/2022/1491480",0,"Retraction","+Concerns/Issues About Data;+Concerns/Issues About Results;+Concerns/Issues about Referencing/Attributions;+Concerns/Issues with Peer Review;+Investigation by Journal/Publisher;+Investigation by Third Party;+Randomly Generated Content;+Unreliable Results;","No","",11.258064516129,2023
